date,Ki_t,scen_num,reopen
2021-02-03,0.22466808,18,100perc
2021-02-03,0.22466808,27,100perc
2021-02-03,0.22466808,30,100perc
2021-02-03,0.22466808,35,100perc
2021-02-03,0.22466808,37,100perc
2021-02-03,0.22466808,49,100perc
2021-02-03,0.22466808,50,100perc
2021-02-03,0.22466808,57,100perc
2021-02-03,0.22466808,58,100perc
2021-02-03,0.22466808,59,100perc
2021-02-03,0.22466808,63,100perc
2021-02-03,0.22466808,65,100perc
2021-02-03,0.22466808,66,100perc
2021-02-03,0.22466808,69,100perc
2021-02-03,0.22466808,71,100perc
2021-02-03,0.22466808,73,100perc
2021-02-03,0.22466808,81,100perc
2021-02-03,0.22466808,101,100perc
2021-02-03,0.22466808,102,100perc
2021-02-03,0.22466808,104,100perc
2021-02-03,0.22466808,110,100perc
2021-02-03,0.22466808,111,100perc
2021-02-03,0.22466808,116,100perc
2021-02-03,0.22466808,122,100perc
2021-02-03,0.22466808,127,100perc
2021-02-03,0.22466808,134,100perc
2021-02-03,0.22466808,137,100perc
2021-02-03,0.22466808,140,100perc
2021-02-03,0.22466808,144,100perc
2021-02-03,0.22466808,147,100perc
2021-02-03,0.22466808,149,100perc
2021-02-03,0.22466808,150,100perc
2021-02-03,0.22466808,151,100perc
2021-02-03,0.22466808,152,100perc
2021-02-03,0.22466808,156,100perc
2021-02-03,0.22466808,157,100perc
2021-02-03,0.22466808,159,100perc
2021-02-03,0.22466808,164,100perc
2021-02-03,0.22466808,165,100perc
2021-02-03,0.22466808,175,100perc
2021-02-03,0.22466808,195,100perc
2021-02-03,0.22466808,199,100perc
2021-02-03,0.22466808,211,100perc
2021-02-03,0.22466808,212,100perc
2021-02-03,0.22466808,223,100perc
2021-02-03,0.22466808,224,100perc
2021-02-03,0.22466808,225,100perc
2021-02-03,0.22466808,227,100perc
2021-02-03,0.22466808,231,100perc
2021-02-03,0.22466808,234,100perc
2021-02-03,0.22466808,235,100perc
2021-02-03,0.22466808,245,100perc
2021-02-03,0.22466808,253,100perc
2021-02-03,0.22466808,258,100perc
2021-02-03,0.22466808,259,100perc
2021-02-03,0.22466808,262,100perc
2021-02-03,0.22466808,264,100perc
2021-02-03,0.22466808,266,100perc
2021-02-03,0.22466808,269,100perc
2021-02-03,0.22466808,271,100perc
2021-02-03,0.22466808,272,100perc
2021-02-03,0.22466808,274,100perc
2021-02-03,0.22466808,276,100perc
2021-02-03,0.22466808,277,100perc
